1	101.5323
2	102.6114
3	98.5144
4	102.5376
5	99.6549
6	103.2026
7	102.9082
8	103.5021
9	102.3490
10	104.0031
11	98.9170
12	103.1442
13	103.9829
14	102.0530
15	100.8094
16	102.4637
17	100.1330
18	101.1803
19	102.4206
20	99.2446
21	101.1265
22	104.5352
23	103.0829
24	101.3206
25	104.7705
26	103.6760
27	99.4326
28	101.0811
29	103.0467
30	104.5012
31	103.3905
32	103.3171
33	102.4609
34	100.2123
35	102.0465
36	104.3919
37	104.3028
38	104.7788
39	99.9478
40	102.4054
41	100.5217
42	99.2822
43	100.0083
44	103.0967
45	104.3340
46	99.4872
47	102.7668
48	104.0406
49	103.9086
50	103.6373
51	102.8321
52	103.1561
53	104.9740
54	102.8182
55	104.6667
56	102.7701
57	100.3976
58	104.4545
59	101.3030
60	103.6512
61	101.2811
62	104.8338
63	100.0149
64	101.5113
65	103.6051
66	104.5143
67	100.6274
68	104.7486
69	103.0690
70	101.9572
71	102.6948
72	104.4613
73	102.1133
74	99.6126
75	104.3923
76	102.2068
77	100.0458
78	99.1730
79	101.1648
80	102.7247
81	104.5956
82	100.5764
83	101.6134
84	104.6165
85	101.5386
86	102.2764
87	99.8757
88	102.9348
89	104.2985
90	99.1000
91	104.3817
92	100.0774
93	103.3923
94	103.1890
95	104.2288
96	104.7568
97	99.7750
98	103.7144
99	104.7967
100	101.8893
